"building.class.category","sale.price.n","gross.sqft","land.sqft","year.built"
"1 One Dwelling",900,1650,2000,1905
"1 One Dwelling",835,1024,929,1925
"1 One Dwelling",815,1296,1800,1925
"1 One Dwelling",1284.062,2296,1500,1925
"1 One Dwelling",1825,2214,4000,1901
"1 One Dwelling",875,1332,1717,1925
"1 One Dwelling",1340,2640,1573,1899
"1 One Dwelling",1350,2640,1607,1899
"1 One Dwelling",450,1760,1747,1899
"1 One Dwelling",1600,1996,5048,1915
"1 One Dwelling",1175,1836,1753,1935
"1 One Dwelling",1300,2930,2000,1910
"1 One Dwelling",1055,2074,2624,1920
"1 One Dwelling",960,1685,3280,1905
"1 One Dwelling",600,2286,2958,1925
"1 One Dwelling",234,1464,1842,1920
"1 One Dwelling",795,1596,1950,1920
"1 One Dwelling",920,1680,2000,1910
"1 One Dwelling",1250,1472,2936,1925
"1 One Dwelling",1260,1478,2600,1925
"1 One Dwelling",855,1376,2296,1925
"1 One Dwelling",1648,3045,3900,1925
"1 One Dwelling",1300,2574,3553,1925
"1 One Dwelling",1200,1895,3280,1925
"1 One Dwelling",1150,2112,1980,1950
"1 One Dwelling",915,1680,2000,1899
"1 One Dwelling",875,1368,1950,1899
"1 One Dwelling",805,1368,1950,1915
"1 One Dwelling",740,1216,1950,1915
"1 One Dwelling",1375,2243,4373,1920
"1 One Dwelling",980,1320,2187,1925
"1 One Dwelling",800,1440,1386,1925
"1 One Dwelling",932.5,1620,1950,1925
"1 One Dwelling",775,1504,2508,1930
"1 One Dwelling",1685,3180,2446,1930
"1 One Dwelling",2350,3110,4200,1925
"1 One Dwelling",2300,2058,3750,1930
"1 One Dwelling",2930,1476,7000,1920
"1 One Dwelling",1112,3223,4500,1930
"1 One Dwelling",1112,3223,4500,1930
"1 One Dwelling",425,1960,2305,1925
"1 One Dwelling",920,1408,2296,1920
"1 One Dwelling",955,2040,2387,1925
"1 One Dwelling",980,1634,3500,1925
"1 One Dwelling",730,2999,2358,1925
"1 One Dwelling",762,1197,1680,1925
"1 One Dwelling",1350,1824,2952,1925
"1 One Dwelling",1955,2549,3644,1920
"1 One Dwelling",1733,2082,4373,1920
"1 One Dwelling",870,1540,2187,1925
"1 One Dwelling",700,1280,2187,1910
"1 One Dwelling",700,1328,2187,1910
"1 One Dwelling",1140,1280,2187,1910
"1 One Dwelling",1100,3654,1680,1931
"1 One Dwelling",815,1328,2187,1920
"1 One Dwelling",2175,2160,4266,1910
"1 One Dwelling",1025,3091,6000,1899
"1 One Dwelling",2275,2879,4000,1905
"1 One Dwelling",830,1456,2100,1915
"1 One Dwelling",865,1626,2100,1920
"1 One Dwelling",800,1448,2000,1925
"1 One Dwelling",940,1703,2000,1925
"1 One Dwelling",2100,2208,5000,1925
"1 One Dwelling",2900,4518,9267,1910
"1 One Dwelling",1600,1848,3300,1910
"1 One Dwelling",1425,3034,3864,1920
"1 One Dwelling",1250,3034,3864,1920
"1 One Dwelling",420,1460,2503,1925
"1 One Dwelling",960,1560,2400,1925
"1 One Dwelling",1415,2290,4000,1925
"1 One Dwelling",1020,1564,3150,1925
"1 One Dwelling",807.5,2040,2000,1925
"1 One Dwelling",3100,4267,5000,1925
"1 One Dwelling",950,1854,3300,1925
"1 One Dwelling",1070,2066,2500,1930
"1 One Dwelling",950,1490,2100,1920
"1 One Dwelling",875,1505,3000,1940
"1 One Dwelling",840,1440,2000,1940
"1 One Dwelling",570,943,1384,1925
"1 One Dwelling",655,1102,958,1925
"1 One Dwelling",588,1044,946,1925
"1 One Dwelling",700,1102,958,1925
"1 One Dwelling",1150,1312,2025,1925
"1 One Dwelling",975,1312,2025,1925
"1 One Dwelling",818,920,1332,1925
"1 One Dwelling",700,2175,1200,1925
"1 One Dwelling",980,1761,1650,1925
"1 One Dwelling",905,1248,1900,1925
"1 One Dwelling",815,1342,2200,1925
"1 One Dwelling",1150,1408,2500,1925
"1 One Dwelling",1100,1408,2500,1925
"1 One Dwelling",1250,1408,2500,1925
"1 One Dwelling",1550,2435,2629,1899
"1 One Dwelling",930,2255,2000,1925
"1 One Dwelling",770,2240,1525,1915
