"building.class.category","sale.price.n","gross.sqft","land.sqft","year.built"
"2 Two Dwelling",1950,2800,2705,1920
"2 Two Dwelling",1200,2436,4007,1920
"2 Two Dwelling",950,1536,1820,1920
"2 Two Dwelling",700.5,1500,2003,1920
"2 Two Dwelling",3005,6045,4007,1986
"2 Two Dwelling",850,1440,2000,1920
"2 Two Dwelling",1250,5472,2400,1980
"2 Two Dwelling",1375,2304,2003,1930
"2 Two Dwelling",1675,2845,4007,1920
"2 Two Dwelling",984.5,1408,2003,1925
"2 Two Dwelling",2000,4420,4007,1960
"2 Two Dwelling",850,1400,2000,1915
"2 Two Dwelling",975,1400,2000,1915
"2 Two Dwelling",1250,1980,2805,1925
"2 Two Dwelling",600,2088,2003,1905
"2 Two Dwelling",800,1328,1202,1930
"2 Two Dwelling",750,1224,1026,1940
"2 Two Dwelling",800,1224,1045,1940
"2 Two Dwelling",975,1292,998,1940
"2 Two Dwelling",900,1040,1304,1899
"2 Two Dwelling",750,1040,1304,1899
"2 Two Dwelling",1200,2000,2003,1925
"2 Two Dwelling",2400,2160,4704,1955
"2 Two Dwelling",875,1368,2404,1925
"2 Two Dwelling",1100,1748,1903,1960
"2 Two Dwelling",1967.3,3472,4007,1920
"2 Two Dwelling",990,2060,2003,1905
"2 Two Dwelling",875,2060,2003,1905
"2 Two Dwelling",1194,2320,2003,1905
"2 Two Dwelling",600,3328,2440,1920
"2 Two Dwelling",900,2240,2000,1925
"2 Two Dwelling",285.7,2070,2003,1925
"2 Two Dwelling",1120,1251,2003,1920
"2 Two Dwelling",700,1760,1200,1940
"2 Two Dwelling",990,1760,1200,1940
"2 Two Dwelling",1245,2988,2003,1950
"2 Two Dwelling",801,1600,2417,1925
"2 Two Dwelling",1400,2040,2500,1935
"2 Two Dwelling",957.5,1880,2000,1915
"2 Two Dwelling",950,1966,2000,1905
"2 Two Dwelling",1140,1822,2267,1930
"2 Two Dwelling",1239.999,2320,2400,1930
"2 Two Dwelling",945,1440,2000,1930
"2 Two Dwelling",820,1940,2500,1930
"2 Two Dwelling",1050,1730,2700,1930
"2 Two Dwelling",900,1800,2000,1931
"2 Two Dwelling",900,1800,2000,1931
"2 Two Dwelling",1100,1440,2000,1931
"2 Two Dwelling",147,2400,2500,1925
"2 Two Dwelling",1100,2412,4000,1910
"2 Two Dwelling",850,2280,2000,1925
"2 Two Dwelling",1200,2560,2500,1920
"2 Two Dwelling",2150,3600,1625,1931
"2 Two Dwelling",500,1305,1179,1930
"2 Two Dwelling",760,1328,1150,1930
"2 Two Dwelling",980,1504,1926,1920
"2 Two Dwelling",1150,2140,3000,1920
"2 Two Dwelling",810,1540,1440,1945
"2 Two Dwelling",960,1620,1800,1945
"2 Two Dwelling",868,1750,2000,1915
"2 Two Dwelling",945,1750,2300,1915
"2 Two Dwelling",840,1721,2000,1920
"2 Two Dwelling",980,2760,1903,1901
"2 Two Dwelling",805,1520,1800,1910
"2 Two Dwelling",750,1520,1800,1910
"2 Two Dwelling",450,3465,2340,1930
"2 Two Dwelling",675,1560,1713,1910
"2 Two Dwelling",885,1368,1523,1910
"2 Two Dwelling",875,2100,1903,1910
"2 Two Dwelling",903,1520,1903,1920
"2 Two Dwelling",1200,2280,1903,1920
"2 Two Dwelling",1300,3300,2003,1930
"2 Two Dwelling",350,2352,1937,1901
"2 Two Dwelling",900,2160,2003,1901
"2 Two Dwelling",1080,1968,2280,1940
"2 Two Dwelling",950,2289,2504,1930
"2 Two Dwelling",1300,3540,2090,1930
"2 Two Dwelling",1300.5,2032,2003,1910
"2 Two Dwelling",1250,2400,2604,1925
"2 Two Dwelling",1520,3600,2604,1925
"2 Two Dwelling",990,2048,2003,1901
"2 Two Dwelling",997.5,3000,2000,1930
"2 Two Dwelling",1600,2560,2800,1925
"2 Two Dwelling",800,3120,2003,1910
"2 Two Dwelling",1200,3080,1500,1930
"2 Two Dwelling",1100,2160,2003,1910
"2 Two Dwelling",1600,5616,2080,1970
"2 Two Dwelling",999,3350,2454,1930
"2 Two Dwelling",1925,5600,1980,1910
"2 Two Dwelling",975,3360,2000,1910
"2 Two Dwelling",995,2492,2003,1940
"2 Two Dwelling",1300,3640,3350,1931
"2 Two Dwelling",1650,2740,3525,1920
"2 Two Dwelling",380,2600,2504,1920
"2 Two Dwelling",975,3900,2003,1905
"2 Two Dwelling",1280,3490,2000,1905
"2 Two Dwelling",999,3318,2003,1905
"2 Two Dwelling",1100,3336,2003,1905
"2 Two Dwelling",2200,2875,4007,1910
"2 Two Dwelling",1750,3400,2003,1970
"2 Two Dwelling",1630,2600,2504,1920
"2 Two Dwelling",510,3312,2003,1910
"2 Two Dwelling",988.5,1632,2033,1920
"2 Two Dwelling",900,1960,2000,1905
"2 Two Dwelling",60,2680,2730,1920
"2 Two Dwelling",875,2256,2003,1920
"2 Two Dwelling",450,2880,2000,1920
"2 Two Dwelling",1430,3120,2003,1905
"2 Two Dwelling",1388,3120,2000,1905
"2 Two Dwelling",990,1880,2003,1910
"2 Two Dwelling",1350,2200,2003,1905
"2 Two Dwelling",600,2190,2162,1915
"2 Two Dwelling",1100,3300,1170,1931
"2 Two Dwelling",930,3300,1170,1931
"2 Two Dwelling",1480,2080,2504,1915
"2 Two Dwelling",1190,2080,2504,1915
"2 Two Dwelling",999,1660,2003,1920
"2 Two Dwelling",1258,2472,2003,1910
"2 Two Dwelling",1300,2960,2517,1920
"2 Two Dwelling",995,2260,2379,1920
"2 Two Dwelling",850,2260,2379,1920
"2 Two Dwelling",1850,1930,3339,1920
"2 Two Dwelling",990,2100,3005,1920
"2 Two Dwelling",999,4500,2500,1960
"2 Two Dwelling",1550,2320,1970,1915
"2 Two Dwelling",1250,2128,2504,1920
"2 Two Dwelling",1226,2520,2504,1955
"2 Two Dwelling",1600,2812,2017,1960
"2 Two Dwelling",199.628,2879,2805,1925
"2 Two Dwelling",1600,2320,2454,1930
"2 Two Dwelling",800,2106,4033,1925
"2 Two Dwelling",850,2600,2421,1925
"2 Two Dwelling",1630,3900,2763,1925
"2 Two Dwelling",1750,2504,3013,1925
"2 Two Dwelling",950,2640,990,1931
"2 Two Dwelling",750,2700,1422,1900
"2 Two Dwelling",1660,2033,2404,1925
"2 Two Dwelling",1350,2680,2000,1925
"2 Two Dwelling",1280,2440,2504,1925
"2 Two Dwelling",1200,2440,2504,1925
"2 Two Dwelling",112.292,2125,2000,1955
"2 Two Dwelling",895,1732,1200,1905
"2 Two Dwelling",930,1791,2003,1915
"2 Two Dwelling",999,2960,2517,1925
"2 Two Dwelling",950,2560,2500,1925
"2 Two Dwelling",1200,1902,2003,1905
"2 Two Dwelling",1100,1792,2003,1925
"2 Two Dwelling",930,2000,2003,1925
"2 Two Dwelling",520,1600,2000,1901
"2 Two Dwelling",800,1400,2000,1901
"2 Two Dwelling",1180,1680,1553,1901
"2 Two Dwelling",780,1600,2000,1901
"2 Two Dwelling",950,2252,3100,1925
"2 Two Dwelling",825,2680,2077,1940
"2 Two Dwelling",998.5,1804,1800,1910
"2 Two Dwelling",1320,2080,2400,1925
"2 Two Dwelling",1200,2120,2400,1920
"2 Two Dwelling",975,1984,2000,1910
"2 Two Dwelling",905,1760,2450,1930
"2 Two Dwelling",1130,1760,2450,1930
"2 Two Dwelling",850,1376,1983,1930
"2 Two Dwelling",1250,2720,2000,1931
"2 Two Dwelling",1400,3550,2180,1931
"2 Two Dwelling",850,2016,2000,1925
"2 Two Dwelling",1200,2440,2500,1930
"2 Two Dwelling",990,2560,2500,1925
"2 Two Dwelling",990,3580,1600,1920
"2 Two Dwelling",998,1800,2283,1930
"3 Three Dwelling",260,2808,1500,1899
"3 Three Dwelling",395,2580,4007,1930
"3 Three Dwelling",799,3300,2000,1920
"3 Three Dwelling",1700,4352,3506,1970
"3 Three Dwelling",900,2338,3445,1910
"3 Three Dwelling",2400,3465,6067,1985
"3 Three Dwelling",2400,4636,3005,1970
"3 Three Dwelling",1800,6882,4007,1950
"3 Three Dwelling",1700,3480,2003,1970
"3 Three Dwelling",1800,3355,2003,1920
"3 Three Dwelling",1750,3720,2000,1970
"3 Three Dwelling",2220,3984,4007,1915
"3 Three Dwelling",1300,2557,2187,1935
"3 Three Dwelling",2100,4836,3485,1980
"3 Three Dwelling",1650,4221,2504,1965
"3 Three Dwelling",900,2160,2120,1930
"3 Three Dwelling",1150,2200,1603,1899
"3 Three Dwelling",700,2080,5148,1899
"3 Three Dwelling",1301,3265,2003,1965
"3 Three Dwelling",1500,3420,2705,1944
"3 Three Dwelling",1390,2520,2496,1925
"3 Three Dwelling",465,3000,1903,1910
"3 Three Dwelling",920,2280,1903,1920
"3 Three Dwelling",850,2280,1903,1920
"3 Three Dwelling",850,2034,1903,1901
"3 Three Dwelling",642.525,3300,2504,1901
"3 Three Dwelling",1610,2286,1970,1901
"3 Three Dwelling",990,2238,1970,1901
"3 Three Dwelling",750,2238,1970,1901
"3 Three Dwelling",636.406,2359,1937,1901
"3 Three Dwelling",995,2472,2003,1901
"3 Three Dwelling",460,2352,2003,1901
"3 Three Dwelling",950,2560,2504,1930
"3 Three Dwelling",1200,2280,1878,1901
"3 Three Dwelling",670,2400,2604,1925
"3 Three Dwelling",2000,3170,4007,1905
"3 Three Dwelling",975,3780,2104,1970
"3 Three Dwelling",1940,4316,4007,1920
"3 Three Dwelling",1400,4083,2204,1925
"3 Three Dwelling",1800,4464,2404,1965
"3 Three Dwelling",2150,5160,5008,1925
"3 Three Dwelling",1700,2520,2454,1920
"3 Three Dwelling",1585,3760,4007,1910
"3 Three Dwelling",1300,2380,2020,1910
"3 Three Dwelling",1450,2400,2454,1920
"3 Three Dwelling",1400,3800,2646,1925
"3 Three Dwelling",1280,2150,2300,1925
"3 Three Dwelling",1995,3595,3175,1960
"3 Three Dwelling",900,2164,4007,1925
"3 Three Dwelling",1950,2164,4007,1925
"3 Three Dwelling",800,4500,3000,1975
"3 Three Dwelling",1400,3250,3100,1970
"3 Three Dwelling",990,3288,4007,1925
"3 Three Dwelling",1615,3198,1680,1970
"3 Three Dwelling",780,5115,4007,1975
"3 Three Dwelling",725,5115,4007,1975
"3 Three Dwelling",1930,3120,2000,1925
"3 Three Dwelling",980,2070,4000,1920
"3 Three Dwelling",1300,2739,1958,1930
"3 Three Dwelling",1800,3200,4000,1920
"3 Three Dwelling",1025,2552,2708,1925
"3 Three Dwelling",1325,2805,2000,1950
"3 Three Dwelling",1390,2842,2600,1930
"1 One Dwelling",127.5,522,853,1901
"1 One Dwelling",127.5,360,560,1901
"1 One Dwelling",555,2376,2300,1920
"1 One Dwelling",560,665,2205,1930
"1 One Dwelling",271.799,1035,1600,1940
"1 One Dwelling",525,2058,1600,1940
"1 One Dwelling",814,735,1800,1915
"1 One Dwelling",325,692,1840,1910
"1 One Dwelling",450,1728,2000,1915
"1 One Dwelling",450,736,2000,1915
"1 One Dwelling",550,2080,1600,1920
"1 One Dwelling",485,1144,1553,1920
"1 One Dwelling",475,1080,2550,1920
"1 One Dwelling",450,1848,2400,1930
"1 One Dwelling",540,924,2400,1930
"1 One Dwelling",788,1989,1782,1940
"1 One Dwelling",450,1604,1260,1920
"2 Two Dwelling",720,2916,2090,1930
"2 Two Dwelling",662.5,3121,2200,1955
"2 Two Dwelling",1200,1060,4435,1935
"2 Two Dwelling",360,2772,1800,1910
"2 Two Dwelling",160,1252,1900,1925
"2 Two Dwelling",530,2100,1800,1920
"2 Two Dwelling",350,1496,2000,1925
"2 Two Dwelling",775,4480,3200,1899
"2 Two Dwelling",700,1800,2500,1925
"2 Two Dwelling",710,1995,1587,1950
"2 Two Dwelling",490,1182,1381,1930
"2 Two Dwelling",490,6020,1620,1920
"2 Two Dwelling",735,924,2400,1930
"2 Two Dwelling",785,1752,1984,1940
"2 Two Dwelling",800,1962,1800,1940
"2 Two Dwelling",585,1920,1408,1940
"2 Two Dwelling",685,1720,1408,1940
"2 Two Dwelling",800,1917,2046,1930
"3 Three Dwelling",655,1944,2328,1930
"3 Three Dwelling",800,1872,2583,1930
"3 Three Dwelling",800,1872,2500,1930
"3 Three Dwelling",645,1800,1600,1901
"3 Three Dwelling",615,1800,1600,1910
"3 Three Dwelling",855,2001,2581,1925
"3 Three Dwelling",680,2472,2450,1925
"3 Three Dwelling",680.4,2880,2800,1925
"3 Three Dwelling",810,2280,1575,1920
"3 Three Dwelling",1300,3410,2450,1940
"1 One Dwelling",9800,3804,2340,1899
"1 One Dwelling",5200,3160,1575,1901
"1 One Dwelling",8000,4750,2225,1901
"1 One Dwelling",5000,3336,2225,1901
"2 Two Dwelling",4000,2816,1642,1899
"2 Two Dwelling",4100,3192,1428,1915
"2 Two Dwelling",5500,5000,1995,1899
"2 Two Dwelling",4100,3264,1750,1930
"2 Two Dwelling",7200,5000,1542,1905
"2 Two Dwelling",6400,5150,2336,1901
"2 Two Dwelling",3900,2280,1480,1910
"3 Three Dwelling",3200,2280,1825,1920
"1 One Dwelling",264.153,1116,1800,1987
"1 One Dwelling",280,1640,2000,1987
"1 One Dwelling",198,1640,2000,1987
"1 One Dwelling",326,1640,2000,1987
"1 One Dwelling",412.5,1640,2800,1987
"1 One Dwelling",330,1620,2000,1987
"1 One Dwelling",400,2200,2000,1986
"1 One Dwelling",340,1620,2000,1987
"1 One Dwelling",244.881,1620,2000,1987
"1 One Dwelling",117.266,1620,2000,1987
"1 One Dwelling",135,1340,2800,1987
"1 One Dwelling",399,1640,2000,1987
"1 One Dwelling",588,1400,2000,1930
"1 One Dwelling",215,1520,2000,1930
"1 One Dwelling",350,1116,1800,1986
"1 One Dwelling",225,1150,1980,1929
"1 One Dwelling",100,1150,1980,1929
"1 One Dwelling",420,2008,3750,1920
"1 One Dwelling",355.1,1116,1800,1985
"1 One Dwelling",399,1400,1600,1930
"1 One Dwelling",212,1116,1800,1985
"1 One Dwelling",370,1190,2100,1930
"1 One Dwelling",168,1400,2000,1930
"1 One Dwelling",250,2750,1533,1930
"1 One Dwelling",329,1148,1800,1986
"1 One Dwelling",333.9,1148,1800,1987
"1 One Dwelling",375,1116,1800,1985
"1 One Dwelling",235,1116,1800,1985
"1 One Dwelling",305,1116,1800,1990
"1 One Dwelling",130,1116,1800,1985
"1 One Dwelling",90,1116,1800,1985
"1 One Dwelling",136.5,1116,1800,1985
"1 One Dwelling",193.1,1116,1800,1985
"1 One Dwelling",238,1116,1802,1985
"1 One Dwelling",125,1116,1802,1986
"1 One Dwelling",320,1116,1802,1985
"1 One Dwelling",330,1128,1875,1986
"1 One Dwelling",224.705,1116,1800,1986
"1 One Dwelling",420,1116,1868,1986
"1 One Dwelling",385,1148,1800,1987
"2 Two Dwelling",1200,9520,2858,1930
"2 Two Dwelling",590,2560,2800,1930
"2 Two Dwelling",590,2955,1958,1995
"2 Two Dwelling",620,4125,1375,1930
"2 Two Dwelling",530,4125,1375,1930
"2 Two Dwelling",565,1568,2000,1930
"2 Two Dwelling",190,1568,2000,1930
"2 Two Dwelling",565,1400,2000,1930
"2 Two Dwelling",250,1400,2000,1930
"2 Two Dwelling",300,1520,2000,1930
"2 Two Dwelling",609,1756,2500,1930
"2 Two Dwelling",230,2185,2500,1920
"2 Two Dwelling",550.8,2160,2500,1930
"2 Two Dwelling",261,2567,3000,1930
"2 Two Dwelling",520,2080,2500,1930
"2 Two Dwelling",540,3340,1377,2005
"2 Two Dwelling",450,2830,2233,1930
"2 Two Dwelling",345,1448,2000,1930
"2 Two Dwelling",491,2140,2500,1930
"2 Two Dwelling",659,2240,2000,1901
"2 Two Dwelling",195,2240,2000,1901
"2 Two Dwelling",400,2000,2350,1901
"2 Two Dwelling",685.586,2310,2005,2004
"2 Two Dwelling",850,3560,2000,1910
"2 Two Dwelling",330,3560,2000,1910
"2 Two Dwelling",670,2440,3000,1905
"2 Two Dwelling",555,2200,2700,1910
"2 Two Dwelling",675,1968,2000,1930
"2 Two Dwelling",200,1968,2000,1930
"2 Two Dwelling",400,2320,3013,1930
"2 Two Dwelling",530,2192,2833,1930
"2 Two Dwelling",604,1920,3000,1930
"2 Two Dwelling",400,1840,2000,1930
"2 Two Dwelling",365,1840,2000,1930
"2 Two Dwelling",460,2200,2500,1930
"2 Two Dwelling",659,2200,2500,1930
"2 Two Dwelling",505,2000,2352,1930
"2 Two Dwelling",402,2223,2300,1899
"2 Two Dwelling",155,1900,2400,1930
"2 Two Dwelling",640,2016,2250,1930
"2 Two Dwelling",249,2016,2250,1930
"2 Two Dwelling",495.5,1760,2300,1930
"2 Two Dwelling",200,1860,1783,1901
"2 Two Dwelling",550,2026,1214,2007
"2 Two Dwelling",136,2700,1000,1930
"2 Two Dwelling",715,4400,2000,2013
"3 Three Dwelling",540,2718,1742,2006
"3 Three Dwelling",674.347,2718,1742,2006
"3 Three Dwelling",625,2718,1742,2006
"3 Three Dwelling",660,2925,1875,2002
"3 Three Dwelling",600,2814,1875,2007
"3 Three Dwelling",225.854,3750,2458,2005
"3 Three Dwelling",375,3210,2140,2005
"3 Three Dwelling",775,3900,2500,2004
"3 Three Dwelling",725,1116,1800,1987
"3 Three Dwelling",10,1800,2000,1899
"3 Three Dwelling",510,3000,2000,2003
"3 Three Dwelling",234,3000,1500,1901
"3 Three Dwelling",580.75,2560,2500,1910
"3 Three Dwelling",228.5,4800,2000,2006
"3 Three Dwelling",420,3120,2500,1920
"1 One Dwelling",925,3250,2500,1928
"2 Two Dwelling",550,1344,1669,1910
"2 Two Dwelling",600,1680,1761,1920
"2 Two Dwelling",160,1952,2003,1920
"2 Two Dwelling",735,1952,2003,1920
"2 Two Dwelling",865,3960,1428,1920
"2 Two Dwelling",800,3960,1428,1920
"2 Two Dwelling",856.5,1920,2003,1915
"2 Two Dwelling",800,1857,1753,1901
"2 Two Dwelling",600,1857,1753,1901
"2 Two Dwelling",450,1968,1803,1899
"2 Two Dwelling",780,1546,2003,1910
"2 Two Dwelling",860,2292,2003,1899
"2 Two Dwelling",980,2532,2003,1910
"3 Three Dwelling",550,2232,2003,1910
"3 Three Dwelling",900,2184,1820,1915
"3 Three Dwelling",760,1920,2003,1915
"3 Three Dwelling",1745,4000,2003,1899
"3 Three Dwelling",409,3072,2003,1901
"3 Three Dwelling",780,2592,2003,1899
"3 Three Dwelling",905,2732,2003,1901
"1 One Dwelling",1262,1416,2500,1901
"1 One Dwelling",1018.584,1500,2500,1899
"1 One Dwelling",1200,880,2500,1910
"1 One Dwelling",600,2640,1800,1901
"1 One Dwelling",700,2286,2010,1901
"1 One Dwelling",1150,1200,250,1920
"1 One Dwelling",850,968,2125,1920
"1 One Dwelling",1030,1056,2825,1920
"1 One Dwelling",940,1308,2500,1920
"1 One Dwelling",300,1200,1260,1899
"1 One Dwelling",315,2001,1529,1901
"1 One Dwelling",2000,3329,5400,1920
"1 One Dwelling",500,5670,5625,1910
"1 One Dwelling",510,1168,1667,1905
"1 One Dwelling",800,2240,2000,1899
"1 One Dwelling",1625,1325,3750,1920
"1 One Dwelling",700,1350,2500,1925
"1 One Dwelling",1550,3189,3750,1899
"1 One Dwelling",890,1740,1933,1899
"1 One Dwelling",432,1414,1767,1905
"2 Two Dwelling",1375,3750,1875,1931
"2 Two Dwelling",725,3750,2500,1910
"2 Two Dwelling",1100,2250,2325,1925
"2 Two Dwelling",850,1600,1900,1899
"2 Two Dwelling",1035,3039,1967,2004
"2 Two Dwelling",1440,1360,2500,1915
"2 Two Dwelling",1440,1100,2500,1915
"2 Two Dwelling",350,2184,3280,1989
"2 Two Dwelling",668,2148,2080,1989
"2 Two Dwelling",1325,1604,2500,1920
"2 Two Dwelling",1100,2000,2000,1899
"2 Two Dwelling",2000,3840,1200,1899
"2 Two Dwelling",1322.524,2000,2500,1931
"2 Two Dwelling",1300,1980,2875,1910
"2 Two Dwelling",1195.85,2100,3000,1930
"2 Two Dwelling",1300,2572,3100,1910
"2 Two Dwelling",1430,1300,2500,1910
"2 Two Dwelling",1150,2500,2000,1931
"2 Two Dwelling",900,2508,2275,1930
"2 Two Dwelling",1550,2950,3563,1899
"2 Two Dwelling",800,1440,2000,1920
"2 Two Dwelling",775,3200,2200,1940
"2 Two Dwelling",1530,1248,3135,1901
"2 Two Dwelling",999.5,1740,2660,1901
"2 Two Dwelling",1782,3781,1850,1899
"2 Two Dwelling",850,1680,1500,1901
"2 Two Dwelling",700,1680,1500,1901
"2 Two Dwelling",850,2168,2905,2001
"2 Two Dwelling",590,2168,2033,2001
"2 Two Dwelling",728.048,2000,2500,1901
"2 Two Dwelling",1375,1760,2500,1901
"2 Two Dwelling",785,2700,1440,1925
"2 Two Dwelling",1115,2722,1400,1925
"2 Two Dwelling",968,2400,1500,1930
"2 Two Dwelling",1100,1716,2438,1930
"2 Two Dwelling",930,1512,1881,1930
"2 Two Dwelling",930,1512,2090,1930
"2 Two Dwelling",432.1,3375,2500,1920
"2 Two Dwelling",1350,1874,2625,1920
"2 Two Dwelling",1325,1600,2900,1930
"2 Two Dwelling",737.5,1392,1667,1930
"2 Two Dwelling",225,1728,1667,1901
"2 Two Dwelling",325,1152,1667,1901
"2 Two Dwelling",1800,5669,4167,1931
"2 Two Dwelling",1030,1469,2500,1901
"2 Two Dwelling",660,1960,1885,2004
"2 Two Dwelling",470,2940,1885,2004
"2 Two Dwelling",1350,5250,2500,1931
"2 Two Dwelling",400,2540,2000,1915
"2 Two Dwelling",380,2268,2000,1915
"2 Two Dwelling",900,2904,1867,1920
"2 Two Dwelling",900,3827,1300,1920
"2 Two Dwelling",900,4356,2200,1920
"2 Two Dwelling",925,1444,2500,1930
"2 Two Dwelling",982.5,1840,2000,1930
"2 Two Dwelling",528,2880,2000,1920
"2 Two Dwelling",1225,2070,1800,1920
"2 Two Dwelling",665,2220,1600,1901
"2 Two Dwelling",635,1716,1800,1901
"2 Two Dwelling",1350,2880,2000,1901
"2 Two Dwelling",1350,2880,2000,1901
"2 Two Dwelling",811,2040,2070,1901
"2 Two Dwelling",750,2214,3400,1996
"2 Two Dwelling",1175,2080,2000,1901
"2 Two Dwelling",1300,1600,2000,1901
"2 Two Dwelling",1026,2200,2500,1920
"2 Two Dwelling",282,2001,1667,1920
"2 Two Dwelling",330,2250,1500,1920
"2 Two Dwelling",700,1800,2500,1930
"2 Two Dwelling",1700,2374,5000,1930
"2 Two Dwelling",200,1960,2825,1994
"2 Two Dwelling",50,1960,1910,1994
"2 Two Dwelling",700,2336,1667,1910
"2 Two Dwelling",939,2001,1333,1910
"2 Two Dwelling",1200,1960,3025,1994
"2 Two Dwelling",150,3570,1983,1924
"2 Two Dwelling",850,2766,2000,2002
"2 Two Dwelling",1300,2400,2000,1931
"2 Two Dwelling",265,2400,2000,1931
"2 Two Dwelling",1195,2400,2000,1901
"2 Two Dwelling",1050,1540,2500,1901
"2 Two Dwelling",960,1540,2000,1925
"2 Two Dwelling",400,2625,2500,1915
"2 Two Dwelling",725,1380,2500,1910
"2 Two Dwelling",350,1400,1461,1910
"2 Two Dwelling",1025,1400,1461,1910
"2 Two Dwelling",1220,2040,1700,1910
"2 Two Dwelling",925,2565,1900,1910
"2 Two Dwelling",5,3780,1815,1931
"2 Two Dwelling",995,3180,1924,1910
"2 Two Dwelling",565,1102,1667,1905
"2 Two Dwelling",884,2000,1807,1950
"2 Two Dwelling",300,2000,1768,1915
"2 Two Dwelling",900,3000,1500,1910
"2 Two Dwelling",1230,1800,2000,1910
"2 Two Dwelling",630,3200,1600,1910
"2 Two Dwelling",1100,2364,1750,1910
"2 Two Dwelling",835,2850,1910,1990
"2 Two Dwelling",700,2400,2000,1910
"2 Two Dwelling",1100,3816,2160,1920
"2 Two Dwelling",695,1839,1750,1910
"2 Two Dwelling",745,1839,1750,1910
"2 Two Dwelling",350,1839,1750,1910
"2 Two Dwelling",1260,2700,2000,1910
"2 Two Dwelling",490,2600,2000,1910
"2 Two Dwelling",730,2700,2000,1905
"2 Two Dwelling",1075,2700,2000,1905
"2 Two Dwelling",602.5,2700,2000,1905
"2 Two Dwelling",1350,2700,2000,1905
"2 Two Dwelling",1370,2946,1915,1899
"2 Two Dwelling",395,3300,1900,1905
"2 Two Dwelling",690,2716,1800,1920
"2 Two Dwelling",900,2770,3000,1910
"2 Two Dwelling",720,3000,2000,1920
"2 Two Dwelling",1290,3000,2000,1920
"2 Two Dwelling",575,3000,2000,1920
"2 Two Dwelling",5,3000,2000,1920
"2 Two Dwelling",5,3000,2000,1920
"2 Two Dwelling",5,3000,2000,1920
"2 Two Dwelling",1495,3000,2000,1920
"2 Two Dwelling",1350,2700,2000,1910
"2 Two Dwelling",1200,3300,2000,1901
"2 Two Dwelling",825,1811,1350,1910
"2 Two Dwelling",940,2400,1500,1915
"2 Two Dwelling",775,3000,2000,1910
"2 Two Dwelling",330,2000,2000,1899
"2 Two Dwelling",750,2000,2000,1899
"2 Two Dwelling",2300,2484,1908,1931
"2 Two Dwelling",1250,3000,2000,1920
"2 Two Dwelling",700,3000,2000,1920
"2 Two Dwelling",910,3000,2000,1920
"2 Two Dwelling",1095,3000,2000,1920
"2 Two Dwelling",1200,2280,2000,1905
"2 Two Dwelling",665,2200,2000,1905
"2 Two Dwelling",665,2200,2000,1905
"2 Two Dwelling",975,2320,2000,1910
"2 Two Dwelling",1405,3042,1950,1925
"2 Two Dwelling",1250,2080,2000,1910
"2 Two Dwelling",500,3120,1950,1915
"2 Two Dwelling",950,2152,1760,1885
"2 Two Dwelling",735,2580,1500,1925
"2 Two Dwelling",240,3000,2000,1925
"2 Two Dwelling",100,3000,2000,1925
"2 Two Dwelling",68,3000,2000,1925
"2 Two Dwelling",275,3000,2000,1899
"2 Two Dwelling",1399,3000,2000,1899
"2 Two Dwelling",620,2400,2000,1899
"2 Two Dwelling",300,1600,1500,1925
"2 Two Dwelling",1360,2565,1900,1920
"2 Two Dwelling",750,2565,1558,1920
"2 Two Dwelling",1350,2700,2000,1910
"2 Two Dwelling",850,2844,1975,1910
"2 Two Dwelling",820,2844,1975,1910
"2 Two Dwelling",416,2128,2333,1935
"2 Two Dwelling",2320,2058,6000,1907
"2 Two Dwelling",850,2280,2000,1920
"2 Two Dwelling",180,2280,2000,1920
"2 Two Dwelling",1060,2850,1626,1990
"2 Two Dwelling",409,2850,1626,1990
"2 Two Dwelling",975,1440,1600,1925
"2 Two Dwelling",425,2700,2000,1925
"2 Two Dwelling",120,2400,2483,1925
"2 Two Dwelling",1350,2700,2000,1915
"2 Two Dwelling",875,2136,1942,1910
"2 Two Dwelling",230,1791,1658,1930
"2 Two Dwelling",1440,10424,1875,1920
"2 Two Dwelling",1,10424,1875,1920
"2 Two Dwelling",1100,2814,1875,1910
"2 Two Dwelling",1400,2814,1875,1910
"2 Two Dwelling",1399,3375,1333,2015
"2 Two Dwelling",1379,3375,1333,2015
"2 Two Dwelling",1075,2160,1600,1899
"2 Two Dwelling",1350,2250,1667,1899
"2 Two Dwelling",999,2200,2000,1901
"2 Two Dwelling",845,3375,1875,2002
"2 Two Dwelling",675,1368,1667,1901
"2 Two Dwelling",640,1368,1667,1901
"2 Two Dwelling",548.745,1468,1667,1901
"2 Two Dwelling",700,2686,1700,1930
"2 Two Dwelling",830,2652,1700,2005
"2 Two Dwelling",350,1632,1360,2006
"2 Two Dwelling",800,2700,2000,1901
"2 Two Dwelling",1275,3000,2000,1901
"2 Two Dwelling",700,2532,1875,1910
"2 Two Dwelling",786.5,1710,1900,1910
"2 Two Dwelling",250,2160,2000,1910
"2 Two Dwelling",710,2160,2000,1910
"2 Two Dwelling",875,1300,2500,1910
"2 Two Dwelling",825,1500,1875,1910
"2 Two Dwelling",400,1500,1667,1910
"2 Two Dwelling",1200,3000,2000,1899
"2 Two Dwelling",750,2889,1925,1899
"2 Two Dwelling",820,3000,3000,1899
"2 Two Dwelling",1125,2140,1983,1910
"2 Two Dwelling",980,2160,2000,1910
